"ccode","year","terror_attacks"
"PRT",2001,0
"PRT",2002,0
"PRT",2003,0
"PRT",2004,0
"PRT",2005,0
"PRT",2006,0
"PRT",2007,0
"PRT",2008,0
"PRT",2009,0
"PRT",2010,0
"PRT",2011,0
"PRT",2012,0
"PRT",2013,0
"PRT",2014,0
"PRT",2015,0
"PRT",2016,0
"PRT",2017,0
"PRT",2018,0
"PRT",2019,0
"PRT",2020,0
"ROU",2000,0
"ROU",2001,0
"ROU",2002,0
"ROU",2003,0
"ROU",2004,0
"ROU",2005,0
"ROU",2006,0
"ROU",2007,0
"ROU",2008,0
"ROU",2009,0
"ROU",2010,0
"ROU",2011,0
"ROU",2012,0
"ROU",2013,0
"ROU",2014,0
"ROU",2015,0
"ROU",2016,0
"ROU",2017,0
"ROU",2018,1
"ROU",2019,0
"ROU",2020,0
"SVK",2000,0
"SVK",2001,0
"SVK",2002,0
"SVK",2003,0
"SVK",2004,0
"SVK",2005,0
"SVK",2006,0
"SVK",2007,0
"SVK",2008,0
"SVK",2009,0
"SVK",2010,0
"SVK",2011,0
"SVK",2012,0
"SVK",2013,0
"SVK",2014,1
"SVK",2015,0
"SVK",2016,0
"SVK",2017,0
"SVK",2018,0
"SVK",2019,0
"SVK",2020,0
"SVN",2000,0
"SVN",2001,0
"SVN",2002,2
"SVN",2003,0
"SVN",2004,0
"SVN",2005,0
"SVN",2006,0
"SVN",2007,0
"SVN",2008,0
"SVN",2009,0
"SVN",2010,0
"SVN",2011,0
"SVN",2012,0
"SVN",2013,0
"SVN",2014,0
"SVN",2015,2
"SVN",2016,0
"SVN",2017,0
"SVN",2018,0
"SVN",2019,0
"SVN",2020,0
"SWE",2000,0
"SWE",2001,0
"SWE",2002,1
"SWE",2003,0
"SWE",2004,0
"SWE",2005,0
"SWE",2006,0
"SWE",2007,0
"SWE",2008,0
"SWE",2009,1
"SWE",2010,1
"SWE",2011,1
"SWE",2012,0
"SWE",2013,0
"SWE",2014,0
"SWE",2015,0
"SWE",2016,2
"SWE",2017,1
"SWE",2018,1
"SWE",2019,1
"SWE",2020,0
"TUR",2000,1
"TUR",2001,3
"TUR",2002,4
"TUR",2003,17
"TUR",2004,13
"TUR",2005,2
"TUR",2006,3
"TUR",2007,3
"TUR",2008,3
"TUR",2009,1
"TUR",2010,0
"TUR",2011,2
"TUR",2012,2
"TUR",2013,3
"TUR",2014,1
"TUR",2015,6
"TUR",2016,20
"TUR",2017,6
"TUR",2018,5
"TUR",2019,3
"TUR",2020,1
"USA",2000,0
"USA",2001,5
"USA",2002,5
"USA",2003,2
"USA",2004,0
"USA",2005,1
"USA",2006,1
"USA",2007,2
"USA",2008,0
"USA",2009,5
"USA",2010,1
"USA",2011,5
"USA",2012,3
"USA",2013,4
"USA",2014,2
"USA",2015,4
"USA",2016,3
"USA",2017,1
"USA",2018,0
"USA",2019,6
"USA",2020,0
